Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy,Country_copy,Area (sq. mi.),Pop. Density (per sq. mi.)
16,2,2004,18.2,21.3,190.602,6.07,97,89,27.8,97,97,1.48,4830,0.28,3.6,3.5,10.3,0,1,69.7,Belize,22966.0,12.19193590525124
39,2,2000,11.1,13.1,98.9985,4.24,89,86,25.8,80,88,0.13,7678,3.96,2.4,2.3,8.0,0,1,77.5,CostaRica,51100.0,77.49510763209393
132,3,2007,13.0,15.2,155.9065,11.06,99,96,25.6,96,96,0.04,7450,20.88,3.2,3.6,10.5,1,0,72.6,Romania,237500.0,87.91578947368421
42,2,2008,5.4,6.7,96.542,4.25,95,98,25.1,99,95,0.15,6501,11.24,3.4,3.2,10.6,0,1,78.2,Cuba,110860.0,101.38913945516867
71,2,2014,17.1,20.0,147.875,2.42,97,83,26.5,99,97,0.06,2256,8.96,2.1,2.1,6.2,0,1,74.3,Honduras,112090.0,79.93576590239985
162,2,2007,21.7,24.4,184.093,6.03,89,87,26.7,90,88,0.4,18076,1.31,6.1,6.5,10.5,0,1,71.2,TrinidadandTobago,5128.0,255.46021840873635
21,0,2004,42.1,72.7,528.2495,4.91,91,83,23.9,96,96,13.43,4860,1.77,1.5,1.4,8.1,0,1,51.2,Botswana,600370.0,2.9481819544614156
151,2,2005,18.9,21.5,173.295,6.37,99,83,26.0,93,99,0.4,6465,0.11,3.7,3.7,7.9,0,1,71.3,St.VincentandtheGrenadines,389.0,282.7763496143959
19,8,2003,47.8,63.3,227.5185,2.32,80,83,25.1,82,88,0.2,2083,8.91,1.4,1.3,7.1,0,1,64.2,Bolivia,1098580.0,8.110469879298732
126,8,2002,26.8,32.3,166.295,4.81,89,55,25.1,87,87,0.18,3725,5.53,2.4,2.3,6.5,0,1,71.0,Paraguay,406750.0,13.59557467732022
10,2,2014,12.2,14.3,160.15,9.22,96,83,27.8,96,96,0.34,31689,0.37,2.5,2.5,11.1,0,1,72.8,"Bahamas,The",13940.0,26.54232424677188
39,2,2004,9.9,11.5,96.3765,4.08,89,85,26.2,90,90,0.15,8395,4.23,2.1,2.0,7.9,0,1,78.0,CostaRica,51100.0,82.7788649706458
102,3,2001,6.6,7.5,62.98,5.99,86,47,26.9,95,95,0.08,16860,0.39,0.7,0.7,8.2,1,0,78.8,Malta,316.0,1234.1772151898733
98,0,2000,100.5,174.6,570.551,1.36,79,64,21.7,73,75,9.54,294,11.15,8.0,7.9,3.0,0,1,45.1,Malawi,118480.0,94.10871033085753
57,3,2006,3.0,3.6,94.799,10.15,88,92,25.9,97,97,0.08,44074,5.27,0.9,0.8,12.0,1,0,79.2,Finland,338145.0,15.585030090641588
